,Team0,Rank0,Team1,Rank1,Team2,Rank2,Team3,Rank3,Team4,Rank4,Team5,Rank5,Team6,Rank6,Team7,Rank7,Team8,Rank8,Team9,Rank9,Team10,Rank10,Team11,Rank11,Team12,Rank12,Team13,Rank13,Team14,Rank14,Team15,Rank15
1980,PHI,4,BUF,3,MTL,2,BOS,2,NYI,4,MNS,3,CHI,2,NYR,2,EDM,1,VAN,1,HFD,1,PIT,1,LAK,1,TOR,1,STL,1,AFM,1
1981,NYI,4,STL,2,MTL,1,LAK,1,BUF,2,PHI,2,CGY,3,BOS,1,TOR,1,PIT,1,EDM,2,NYR,3,VAN,1,QUE,1,CHI,1,MNS,4
1982,MTL,1,BOS,2,MNS,1,WIN,1,NYI,4,NYR,2,EDM,1,VAN,4,QUE,3,BUF,1,CHI,3,STL,2,PIT,1,PHI,1,LAK,2,CGY,1
1983,BOS,3,MTL,1,PHI,1,NYI,4,CHI,3,MNS,2,EDM,4,CGY,2,QUE,1,BUF,2,NYR,2,WSH,1,STL,1,TOR,1,WIN,1,VAN,1
1984,BOS,1,BUF,1,NYI,4,WSH,2,MNS,3,STL,2,EDM,4,CGY,2,MTL,3,QUE,2,NYR,1,PHI,1,CHI,1,DET,1,WIN,1,VAN,1
1985,MTL,2,QUE,3,PHI,4,WSH,1,STL,1,CHI,3,EDM,4,WIN,2,BOS,1,BUF,1,NYR,1,NYI,2,MNS,2,DET,1,LAK,1,CGY,1
1986,QUE,1,MTL,4,PHI,1,WSH,2,CHI,1,MNS,1,EDM,2,CGY,4,HFD,2,BOS,1,NYR,3,NYI,1,TOR,2,STL,3,VAN,1,WIN,1
1987,HFD,1,MTL,3,PHI,4,WSH,1,STL,1,DET,3,EDM,4,CGY,1,QUE,2,BOS,1,NYR,1,NYI,2,TOR,2,CHI,1,LAK,1,WIN,2
1988,MTL,2,BOS,4,NYI,1,WSH,2,DET,3,STL,2,CGY,2,EDM,4,HFD,1,BUF,1,NJD,3,PHI,1,TOR,1,CHI,1,LAK,1,WIN,1
1989,MTL,4,BOS,2,WSH,1,PIT,2,DET,1,STL,2,CGY,4,LAK,2,HFD,1,BUF,1,PHI,3,NYR,1,CHI,3,MNS,1,VAN,1,EDM,1
1990,BOS,4,BUF,1,NYR,2,NJD,1,CHI,3,STL,2,CGY,1,EDM,4,HFD,1,MTL,2,NYI,1,WSH,3,MNS,1,TOR,1,LAK,2,WIN,1
1991,BOS,3,MTL,2,PIT,4,NYR,1,CHI,1,STL,2,LAK,2,CGY,1,HFD,1,BUF,1,NJD,1,WSH,2,MNS,4,DET,1,VAN,1,EDM,3
1992,MTL,2,BOS,3,NYR,2,WSH,1,DET,2,CHI,4,VAN,2,LAK,1,HFD,1,BUF,1,NJD,1,PIT,4,MNS,1,STL,1,WIN,1,EDM,3
1993,BOS,1,QUE,1,PIT,2,WSH,1,CHI,1,DET,1,VAN,2,CGY,1,BUF,2,MTL,4,NJD,1,NYI,3,STL,2,TOR,3,WIN,1,LAK,4
1994,NYR,4,PIT,1,NJD,3,BOS,2,DET,1,CGY,1,TOR,3,DAL,2,NYI,1,WSH,2,BUF,1,MTL,1,SJS,2,VAN,4,CHI,1,STL,1
