,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
MTL,3.3375,2.5875,0.5125,0.35,0.0,29,37,1,6,3,2,2,4,2,3,4,2,3,1
BOS,3.375,3.4375,0.45,0.4,0.0,38,34,5,3,2,3,4,2,4,1,1,1,1,3
NYR,4.0125,3.075,0.625,0.3125,0.0,39,20,7,2,1,1,2,1,0,1,3,1,1,2
WSH,4.125,3.4375,0.5625,0.3375,0.0,42,38,6,3,1,2,3,1,2,1,2,1,2,1
DET,4.0,3.2,0.5375,0.3125,0.0,36,27,6,2,2,1,0,1,3,3,0,1,1,0
CHI,3.2125,2.95,0.45,0.3625,0.0,32,28,5,4,1,1,3,3,1,1,1,3,1,3
VAN,3.5625,3.125,0.525,0.325,0.0,26,40,3,5,2,1,0,1,0,0,1,0,1,1
LAK,3.5875,3.7,0.4375,0.3875,0.0,31,43,3,6,1,2,2,2,1,1,0,1,0,0
HFD,3.0875,3.5375,0.325,0.5125,0.0,32,35,3,5,2,1,1,1,1,1,2,0,0,0
BUF,3.6125,3.7375,0.3875,0.4625,0.0,37,32,4,5,1,1,1,1,1,0,0,1,1,2
NJD,3.6125,3.2375,0.475,0.3875,0.0,33,37,4,5,1,1,1,0,3,0,0,0,0,0
PIT,4.2875,3.85,0.4875,0.4,0.0,42,38,6,3,1,4,0,2,0,0,0,0,0,0
MNS,3.075,3.475,0.4,0.525,0.0,27,38,2,7,1,4,1,1,0,0,1,2,3,2
STL,3.4875,3.325,0.45,0.4125,0.0,33,31,4,4,2,2,2,2,2,1,3,1,2,1
WIN,3.1375,3.05,0.4125,0.4,0.0,41,28,6,1,3,0,1,0,1,2,1,2,1,1
EDM,3.6875,3.7125,0.45,0.425,0.0,37,42,4,4,2,3,4,1,4,4,2,4,4,4
